"","views","favorite","post_info","price","car_name","year","A.C","emission_class","seats_amount","horsepower","color","car_mileage..km","engine_capacity..cc","type_of_drive","doors","fuel","car_type","gearbox"
"6961",100,2,"posted 3 days ago",1550,"Ford Fiesta",2007,"manual A/C","Euro 4",5,68,"blue",300000,1399,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"6962",224,5,"posted a week ago",1000,"Opel Corsa C",2003,"no A/C","",5,68,"blue",300000,1000,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"6963",191,5,"posted 2 weeks ago",2500,"Peugeot 206+",2010,"manual A/C","Euro 4",5,68,"gray",300000,1400,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"6964",124,3,"posted a week ago",800,"Suzuki Alto",1999,"no A/C","",5,68,"yellow",300000,1000,"front","2/3 doors","petrol","hatchback","manual, 5 speeds"
"6965",136,0,"posted 3 days ago",450,"Zastava Florida In",2005,"no A/C","",5,64,"gray",300000,1300,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"6966",365,6,"updated 2 days ago",2250,"Fiat Punto",2010,"manual A/C","Euro 4",5,61,"silver",300000,1198,"front","4/5 doors","methane","hatchback","manual, 5 speeds"
"6967",126,1,"posted a week ago",1400,"Fiat Punto",2003,"no A/C","Euro 3",5,60,"gray",300000,1200,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"6968",241,2,"posted a week ago",1000,"Fiat Punto",2002,"manual A/C","",5,60,"blue",300000,1200,"front","2/3 doors","petrol","hatchback","manual, 5 speeds"
"6969",255,1,"posted a week ago",550,"Volkswagen Golf 2",1998,"no A/C","Euro 2",5,54,"white",300000,1599,"front","4/5 doors","diesel","hatchback","manual, 4 speeds"
"6970",417,6,"posted 2 weeks ago",750,"Volkswagen Golf 2",1990,"no A/C","Euro 1",5,54,"red",300000,1600,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"6971",546,4,"posted 2 weeks ago",550,"Volkswagen Golf 2",1989,"no A/C","Euro 1",5,54,"teget",300000,1600,"front","2/3 doors","diesel","hatchback","manual, 5 speeds"
"6972",10,0,"yesterday",7600,"Ford S-MAX",2012,"no A/C","Euro 5",5,158,"green",300000,2000,"front","4/5 doors","diesel","hatchback","automatic"
"6973",70,2,"posted 4 weeks ago",9800,"Mini John Cooper Works",2013,"manual A/C","Euro 5",5,143,"white",300000,1985,"4x4","4/5 doors","diesel","hatchback","manual, 6 speeds"
"6974",42,0,"yesterday",3700,"Audi A3",2005,"automatic A/C","Euro 3",5,140,"black",300000,1998,"front","4/5 doors","diesel","hatchback","manual, 6 speeds"
"6975",524,19,"posted 3 weeks ago",350,"Opel Corsa B",1999,"no A/C","Euro 1",5,14,"gray",300000,1000,"front","2/3 doors","petrol","hatchback","manual, 5 speeds"
"6976",39,0,"posted a week ago",2100,"Peugeot 307",2004,"automatic A/C","Euro 4",5,136,"gray",300000,1997,"front","4/5 doors","diesel","hatchback","manual, 6 speeds"
"6977",184,1,"posted 3 weeks ago",2000,"Audi A3",2002,"manual A/C","Euro 3",5,131,"blue",300000,1896,"front","2/3 doors","diesel","hatchback","manual, 6 speeds"
